"Customer successfully returned from ","Customer successfully returned from "
"Customer was redirected to ","Customer was redirected to "
"Customer was returned from .","Customer was returned from ."
"Debug","Debug"
"Enabled","Enabled"
"Error occured","Error occured"
"Live","Live"
"Mode","Mode"
"Order ","Order "
"PAYMENT","Sale"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
" Standard","Unipayment Standard"
"Sort order","Sort order"
"Store name will be used if left empty","Store name will be used if left empty"
"Test","Test"
"Title","Title"
"Transaction Description","Transaction Description"
"You will be redirected to  website when you place an order.","You will be redirected to  website when you place an order."
"You will be redirected to protx in a few seconds.","You will be redirected to protx in a few seconds."